ARS,Category,Parameter,Units,Measurement Range (Units),Measurement Resolution (Units),Measurement Min Sample Rate (N/hr),Set Point (Units),Settling Time (seconds),Actuation Time (seconds),"Ideal Min, Plant","Ideal Max, Plant","Tolerable Min, Plant","Tolerable Max, Plant","Ideal Min, Germ","Ideal Max, Germ","Tolerable Min, Germ","Tolerable Max, Germ",Yellow Action,Red Action (Out of Tolerance),Lower Value Limit,Upper Value Limit,Comments,Sources
1.1,Internal Atmosphere,CO2 Partial Pressure (Daytime Only),ppm,0-2000,unknown,60,1500,5,0.5,1000,2000,100,500000,1000,2000,100,500000,,,0,2000,">50% creates risk of settline out (GCH); <100 ppm, CO2 exchange rate approaches zero; must be pressure/temp compensated - set ponit based on std pressure/temp",comments from Ray Wheeler
1.2,Internal Atmosphere,O2 Partial Pressure,% ,0-100,unknown,60,16.5,5,1,12,21,10,25,12,21,10,25,,,0,100,"25 kPa is 30% concentration, set point is earth concentration, given 84 kPa total pressure",comments from Ray Wheeler
1.3,Internal Atmosphere,Total Pressure,hPA,300 - 1100hPa,unknown,60,840,5,0.5,800,840,750,847,800,840,750,847,,,0,1500,"1/4 atm (plants can survive) to 1atm (Earth at Sea Level); Add N2 to raise, vent to lower; system limited to ambien plus 0.1 PSI before manometer overflows",Dr. Ray Wheeler talk 9/29/2014
1.4,Internal Atmosphere,Vapor Pressure Deficit,kPa,n/a,n/a,360,0.5,5,1,0.5,1.2,0.4,1.4,0.5,1.2,0.4,1.4,,,0,5,Calculated from temp and RH (http://ohioline.osu.edu/aex-fact/0804.html),Wikipedia (http://en.wikipedia.org/wiki/Vapour_Pressure_Deficit)
1.5,Internal Atmosphere,Relative Humidity,% ,5 - 99,1,360,65,5,1,50,70,30,90,50,70,30,90,,,0,100,Controlled to reach desired VPD,http://www.cornellcea.com/attachments/Cornell%20CEA%20Lettuce%20Handbook%20.pdf
1.6,Internal Atmosphere,Temperature (Day),deg C,−40 to 80,0.2,360,n/a,n/a,n/a,23,27,21,29,20,25,18,27,,,n/a,n/a,,
1.7,Internal Atmosphere,Temperature (Night),deg C,−40 to 80,0.2,360,n/a,n/a,n/a,18,22,15,24,18,22,15,24,,,n/a,n/a,Within maxmum Earth temps; should be measured near plant canopy; cool temps could be used to slow growth,http://www.weekendgardener.net/vegetables/lettuce.htm and comments from Ray Wheeler; Set point of 23 NASA/TM–2003-211184.
1.8,Internal Atmosphere,Air flow ,m/s,n/a,n/a,n/a,n/a,n/a,n/a,0.15,0.5,0.1,0.8,0.15,0.5,0.1,0.8,,,n/a,n/a,"Downward air flow required, not measured but regulated fan power controls air flow; oxygen sensor requires >3 cc/min flow or 0.0004 m/s across 0.5"" membrane (100 cc/min typical)","http://www.controlledenvironments.org/Growth_Chamber_Handbook/Ch14.pdf, page 194"
2.1,Nutrient & Water Delivery,Soil/Medium Temperature,deg C,0 - 100,1,60,18,n/a,n/a,15,20,10,22,15,20,4.4,27,,,0,50,http://www.weekendgardener.net/vegetables/lettuce.htm,http://www.johnnyseeds.com/p-6609-outredgeous-romaine-lettuce.aspx
2.2,Nutrient & Water Delivery,Water Temperature,deg C,0 - 100,1,60,23,10,10,22,24,21,25,18,21,16,23,,,0,50,Water boils at 100C at 1atm and ~67C at 1/4atm (sensor); cooler temp also prevents fungal growth,http://www.howardresh.com/Hydroponic-Lettuce-Production1.html says 18-21 C. Use 23 as a 'set point' NASA/TM–2003-211184; cornell lettuce handbook says 24-26
2.3,Nutrient & Water Delivery,Electrical Conductivity (EC), µS-cm-1,3 - 3000,1,60,1200,10,1,1150,1250,800,2000,1150,1250,800,2000,,,0,5000,1150-1250 above source water (plant). 3 -3000 is distilled water to a margin above lettuce maximum,http://www.cornellcea.com/attachments/Cornell%20CEA%20Lettuce%20Handbook%20.pdf http://www.homehydrosystems.com/ph_tds_ppm/ph_vegetables_page.html; http://www.fao.org/docrep/005/y4263e/y4263e0e.htm (90% yield for upper limit)
2.3.1,Nutrient & Water Delivery,Nitrogen (N),ppm,n/a,n/a,n/a,n/a,n/a,,,100-200,,n/a,,100-200,n/a,n/a,,,n/a,n/a,Nitrate + Ammonium,http://www.howardresh.com/Hydroponic-Lettuce-Production1.html; UoA Lettuce Intensive Course
2.3.2,Nutrient & Water Delivery,     Phosphorus (P),ppm,n/a,n/a,n/a,n/a,n/a,,,15-90,,n/a,,15-90,n/a,n/a,,,n/a,n/a,,http://www.howardresh.com/Hydroponic-Lettuce-Production1.html; UoA Lettuce Intensive Course
2.3.3,Nutrient & Water Delivery,Potassium (K),ppm,n/a,n/a,n/a,n/a,n/a,,,80-350,,n/a,,80-350,n/a,n/a,,,n/a,n/a,,http://www.howardresh.com/Hydroponic-Lettuce-Production1.html; UoA Lettuce Intensive Course
2.4,Nutrient & Water Delivery,pH,pH,2 - 12,0.2,60,6,10,0.5,5.5,6,5,6.5,5.5,6,n/a,n/a,,,0,15,,http://www.cornellcea.com/attachments/Cornell%20CEA%20Lettuce%20Handbook%20.pdf. Ray et Al give 5 - 6.5 as ideal. 
2.5,Nutrient & Water Delivery,Dissolved O2,mg/L,0 - 15,0.1,60,n/a,300,,7,n/a,2.1,n/a,7,n/a,n/a,n/a,,,n/a,n/a,DO is temperature dependent: (see chart) max solubility is 15; 100% sat for givent temp is ideal; Should not fall below 2.1mg/L (Plant),http://www.cornellcea.com/attachments/Cornell%20CEA%20Lettuce%20Handbook%20.pdf
2.6,Nutrient & Water Delivery,Resevoir Turbidity,NTU,n/a,n/a,n/a,n/a,n/a,,,<5,,n/a,,<5,n/a,n/a,,,n/a,n/a,Turbidity shall not be monitored,
2.7,Nutrient & Water Delivery,Flow rate ,gpm,0.2-2,0.05,360,n/a,10,,0.58,0.34,0.23,0.47,0.58,0.34,0.23,0.47,,,n/a,n/a,"Plant Growth Chamber Handbook, page 127; to maintain DO uniformity and flow through UV filter (page 129) - shall not be monitored directly",
2.8,Nutrient & Water Delivery,Growth Medium Volumetric Water Content,% ,0-50,1,60,50,0,,25,50,10,100,,,,,,,0,100,,
2.9,Nutrient & Water Delivery,Main Tank Level,Inches,0-16,0.5,3600,n/a,0,n/a,n/a,n/a,2.5,13,n/a,n/a,n/a,n/a,,,0,20,,
2.10,Nutrient & Water Delivery,Leachate Tank Level,Inches,0-8,0.5,3600,n/a,0,n/a,n/a,n/a,2.5,6,n/a,n/a,n/a,n/a,,,0,10,,
2.11,Nutrient & Water Delivery,NTR Tank 1 Level,Inches,0-8,0.5,3600,n/a,0,n/a,n/a,n/a,2.5,6,n/a,n/a,n/a,n/a,,,0,10,,
2.12,Nutrient & Water Delivery,NTR Tank 2 Level,Inches,0-8,0.5,3600,n/a,0,n/a,n/a,n/a,2.5,6,n/a,n/a,n/a,n/a,,,0,10,,
2.13,Nutrient & Water Delivery,pH Tank Level,Inches,0-8,0.5,3600,n/a,0,n/a,n/a,n/a,2.5,6,n/a,n/a,n/a,n/a,,,0,10,,
2.14,Nutrient & Water Delivery,Condensate Tank Level,Inches,0-8,0.5,3600,n/a,0,n/a,n/a,n/a,2.5,6,n/a,n/a,n/a,n/a,,,0,10,,
2.15,Nutrient & Water Delivery,Nutrient 1 Mixing,L/min,unknown,unknown,n/a,n/a,60,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,n/a,n/a,,
2.16,Nutrient & Water Delivery,Nutrient 2 Mixing,L/min,unknown,unknown,n/a,n/a,60,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,n/a,n/a,,
3.1,Internal Atmosphere,Light intensity (PAR),μmol m-2 s-1,0 - 2000,2,60,262.345679,3600,0,200,250,150,450,200,250,150,450,,,0,500,Tolerable range taken from Growth Chamber Handbook,http://www.cornellcea.com/attachments/Cornell%20CEA%20Lettuce%20Handbook%20.pdf http://www.usa.lighting.philips.com/pwc_li/main/shared/assets/downloads/pdf/horticulture/leaflets/general-booklet-philips-led-lighting-in-horticulture-USA.pdf
3.2,Internal Atmosphere,Supplemental Light Spect.,nm,400 - 800,5,n/a,n/a,n/a,,400,700,300,800,400,700,300,800,,,n/a,n/a,"Centered on Red and Blue light, or white light is OK too. Not directly measured",http://www.cornellcea.com/attachments/Cornell%20CEA%20Lettuce%20Handbook%20.pdf
3.3,Internal Atmosphere,Light cycle,hours on,0 - 24,. 2.7e-4,n/a,18,n/a,,18,24,14,24,24,24,Day 0: 24,,,,0,24,1 sec = 2.7e-4 hrs,http://www.cornellcea.com/attachments/Cornell%20CEA%20Lettuce%20Handbook%20.pdf and comments from Ray W. 
3.4,Internal Atmosphere,Daily light integral,mol m-2 d,n/a,1,n/a,17,n/a,,15,20,13,23,22,24,20,24,,,0,50,Calculated as PAR (µmol.m-2.s-1) x 0.0864,
4.1,External Atmosphere,'Air' Termperature,C, -153 to 20,1,60,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,0,50,Martian coldest temp in winter to highest temp in summer,http://quest.nasa.gov/aero/planetary/mars.html
4.2,External Atmosphere,'Air' Pressure',kPa,0.375 to 1.125,0.1,60,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,Mars avg pressure 7.5milibars +- 50% variation,http://quest.nasa.gov/aero/planetary/mars.html
4.3,External Atmosphere,Solar Irradiance,μmol m-2 s-1,0 - 2000,2,60,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,Darkness to noontime high,http://quest.nasa.gov/aero/planetary/mars.html
4.4,External Atmosphere,Humidity,%,0 - 100,1,60,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,Max nightime martian humidity is 100%,http://quest.nasa.gov/aero/planetary/mars.html
4.5,External Atmosphere,O2 Partial Pressure,kPa,0-35.0,0.1,n/a,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,shall not be measured directly due to microprocessor limitations -  consider for future enhancement,
4.6,External Atmosphere,CO2 Partial Pressure,kPa,0-2.0,0.001,n/a,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,shall not be measured directly due to microprocessor limitations -  consider for future enhancement,
5.1,Internal Atmosphere,Ethelyne et al. ,ppb,n/a,n/a,n/a,n/a,n/a,,,<25,,n/a,,<25,,n/a,,,n/a,n/a,shall not be measured directly,Dr. Ray Wheeler talk 9/29/2014
5.2,Internal Atmosphere,Plant Image,RGB,1 to 255,>1000x1000,1,n/a,n/a,,,n/a,,n/a,,n/a,,n/a,,,n/a,n/a,,